song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
57,194520,0.000153,0.391,0.831,0.00192,2,0.141,-3.892,0.0613,139.946,0.683
71,206586,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,0.0488,143.526,0.725
63,173680,0.00225,0.535,0.948,0,6,0.376,-4.19,0.0356,103.183,0.778
64,215266,0.0132,0.524,0.578,0.00921,9,0.108,-4.563,0.12,123.669,0.537
71,270920,0.00014,0.468,0.769,0.00124,4,0.271,-7.036,0.041,104.102,0.17
61,175026,0.000295,0.592,0.932,7.59E-05,6,0.138,-4.491,0.0885,93.675,0.698
67,246040,4.78E-05,0.213,0.93,0,0,0.126,-4.478,0.0671,169.221,0.386
63,176306,5.10E-05,0.219,0.952,0.0989,2,0.157,-3.621,0.176,112.886,0.172
72,277840,0.000336,0.433,0.854,0.000177,9,0.162,-3.868,0.0483,89.4,0.368
71,238400,0.000671,0.509,0.843,0.000803,1,0.348,-3.318,0.0488,140.055,0.332
70,207213,0.00018,0.546,0.959,0.00144,8,0.0584,-4.664,0.082,127.831,0.416
65,218000,6.94E-06,0.408,0.965,0.000402,2,0.11,-4.232,0.05,136.018,0.349
69,299533,0.000249,0.269,0.853,0.000246,7,0.118,-4.647,0.0854,141.581,0.179
66,247266,3.32E-05,0.365,0.894,0.171,11,0.267,-4.682,0.0572,82.305,0.31
94,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0.0544,97.064,0.174
98,212500,0.153,0.841,0.798,3.33E-06,1,0.0618,-4.206,0.229,95.948,0.591
59,185282,0.0983,0.83,0.497,0,1,0.0906,-6.94,0.052,127.965,0.634
73,199230,0.0557,0.687,0.766,0.00107,11,0.146,-6.08,0.054,94.973,0.303
94,180000,0.346,0.638,0.717,0,2,0.105,-4.722,0.0337,100.027,0.249
87,179693,0.352,0.746,0.703,0,4,0.331,-4.179,0.107,166.043,0.667
73,235720,0.0348,0.823,0.63,6.72E-06,7,0.0964,-3.932,0.0797,100.04,0.184
85,223583,0.235,0.701,0.512,5.07E-06,0,0.135,-6.869,0.0969,91.947,0.663
61,243487,0.117,0.695,0.884,0,0,0.104,-6.279,0.131,74.992,0.854
58,210865,0.716,0.722,0.584,0.000321,11,0.115,-8.467,0.318,169.978,0.646
92,204664,0.00381,0.8,0.578,0,4,0.359,-5.144,0.0485,143.01,0.367
83,215151,0.266,0.817,0.74,0,11,0.0992,-4.566,0.283,130.04,0.674
57,202373,0.107,0.398,0.66,0,1,0.121,-5.626,0.12,83.828,0.719
44,162733,0.00397,0.812,0.748,0,5,0.174,-5.959,0.139,132.035,0.158
47,157461,0.0526,0.659,0.734,2.48E-06,10,0.242,-4.008,0.046,161.971,0.346
54,170997,0.232,0.705,0.778,0,9,0.244,-4.101,0.177,160.099,0.709
47,188440,0.0255,0.723,0.687,0.000207,11,0.124,-4.632,0.2,173.747,0.777
64,253714,0.0257,0.928,0.402,0,8,0.0804,-7.569,0.451,139.998,0.62
56,272000,0.902,0.465,0.675,0.267,10,0.11,-7.555,0.0485,119.941,0.129
49,174000,0.571,0.632,0.652,0.85,4,0.194,-10.558,0.0302,115.031,0.594
65,209573,0.921,0.471,0.179,0,9,0.101,-10.273,0.089,174.273,0.194
52,202754,0.0857,0.871,0.545,0.000499,0,0.0756,-6.466,0.0625,96.035,0.415
61,178009,0.0646,0.829,0.606,0.391,5,0.281,-7.093,0.149,118.051,0.732
65,169251,0.149,0.837,0.649,7.63E-05,11,0.103,-5.26,0.192,164.002,0.948
77,220826,0.137,0.817,0.635,7.85E-06,5,0.245,-5.719,0.138,103.029,0.777
95,217822,0.172,0.635,0.902,0,0,0.125,-3.559,0.109,102.063,0.286
95,253390,0.099,0.816,0.726,0,5,0.372,-3.998,0.129,136.048,0.65
